source,target,weight
GM Amygdala_superficial group,GM Secondary somatosensory cortex / Parietal operculum OP2,0.4027455639685633
GM Amygdala_superficial group,GM Secondary somatosensory cortex / Parietal operculum OP3,0.4550095529137218
GM Amygdala_superficial group,GM Secondary somatosensory cortex / Parietal operculum OP4,0.40212950928566504
GM Amygdala_superficial group,GM Superior parietal lobule 5Ci,0.597231956972345
GM Amygdala_superficial group,GM Superior parietal lobule 5L,0.7928050124719229
GM Amygdala_superficial group,GM Superior parietal lobule 5M,0.2744375711559034
GM Amygdala_superficial group,GM Superior parietal lobule 7A,0.5359987674587606
GM Amygdala_superficial group,GM Superior parietal lobule 7M,0.6120033818474948
GM Amygdala_superficial group,GM Superior parietal lobule 7P,0.07179139737318863
GM Amygdala_superficial group,GM Superior parietal lobule 7PC,0.711487605683097
GM Amygdala_superficial group,GM Visual cortex V1 BA17,0.08953036325561681
GM Amygdala_superficial group,GM Visual cortex V2 BA18,0.7847793203068092
GM Amygdala_superficial group,GM Visual cortex V3V,0.0998044074072797
GM Amygdala_superficial group,GM Visual cortex V4,0.8114527454064843
GM Amygdala_superficial group,GM Visual cortex V5,0.7518898680429225
GM Amygdala_superficial group,WM Acoustic radiation,0.788499434788219
GM Amygdala_superficial group,WM Callosal body,0.9086218731931188
GM Amygdala_superficial group,WM Cingulum,0.6478892068171174
GM Amygdala_superficial group,WM Corticospinal tract,0.5879671507681392
GM Amygdala_superficial group,WM Fornix,0.8883893394800445
GM Amygdala_superficial group,WM Inferior occipito-frontal fascicle,0.5141691086456653
GM Amygdala_superficial group,WM Optic radiation,0.38419939014915816
GM Amygdala_superficial group,WM Superior longitudinal fascicle,0.7671167306588254
GM Amygdala_superficial group,WM Superior occipito-frontal fascicle,0.3270334567364158
GM Amygdala_superficial group,WM Uncinate fascicle,0.8927446017562048
GM Anterior intra-parietal sulcus hIP1,GM Anterior intra-parietal sulcus hIP2,0.24985843113524764
GM Anterior intra-parietal sulcus hIP1,GM Anterior intra-parietal sulcus hIP3,0.4687009594030974
GM Anterior intra-parietal sulcus hIP1,GM Broca's area BA44,0.8867492193732529
GM Anterior intra-parietal sulcus hIP1,GM Broca's area BA45,0.4837950948387789
GM Anterior intra-parietal sulcus hIP1,GM Hippocampus cornu ammonis,0.07621987004164865
GM Anterior intra-parietal sulcus hIP1,GM Hippocampus dentate gyrus,0.30525684478943127
GM Anterior intra-parietal sulcus hIP1,GM Hippocampus entorhinal cortex,0.6240272927815621
GM Anterior intra-parietal sulcus hIP1,GM Hippocampus hippocampal-amygdaloid transition area,0.8321852714733324
GM Anterior intra-parietal sulcus hIP1,GM Hippocampus subiculum,0.5353497494482814
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PF,0.5944948355516894
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PFcm,0.40545216274460005
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PFm,0.17915580976612644
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PFop,0.56516931276261
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PFt,0.8858748185049733
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PGp,0.15465259368273865
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule Pga,0.9455052639163614
GM Anterior intra-parietal sulcus hIP1,GM Insula Id1,0.7574864714894275
GM Anterior intra-parietal sulcus hIP1,GM Insula Ig1,0.023151660471942614
GM Anterior intra-parietal sulcus hIP1,GM Insula Ig2,0.9877432271791852
GM Anterior intra-parietal sulcus hIP1,GM Lateral geniculate body,0.3574747201749273
GM Anterior intra-parietal sulcus hIP1,GM Mamillary body,0.975981849384743
GM Anterior intra-parietal sulcus hIP1,GM Medial geniculate body,0.8889721080257267
GM Anterior intra-parietal sulcus hIP1,GM Premotor cortex BA6,0.45278084587256495
GM Anterior intra-parietal sulcus hIP1,GM Primary auditory cortex TE1.0,0.028695007271619
GM Anterior intra-parietal sulcus hIP1,GM Primary auditory cortex TE1.1,0.06523263895341447
GM Anterior intra-parietal sulcus hIP1,GM Primary auditory cortex TE1.2,0.16847485774856474
GM Anterior intra-parietal sulcus hIP1,GM Primary motor cortex BA4a,0.3789757550659263
GM Anterior intra-parietal sulcus hIP1,GM Primary motor cortex BA4p,0.2205834245078051
GM Anterior intra-parietal sulcus hIP1,GM Primary somatosensory cortex BA1,0.4804983879327629
GM Anterior intra-parietal sulcus hIP1,GM Primary somatosensory cortex BA2,0.5178828028643879
GM Anterior intra-parietal sulcus hIP1,GM Primary somatosensory cortex BA3a,0.2977926563390858
GM Anterior intra-parietal sulcus hIP1,GM Primary somatosensory cortex BA3b,0.05096560765847524
GM Anterior intra-parietal sulcus hIP1,GM Secondary somatosensory cortex / Parietal operculum OP1,0.530332333483696
GM Anterior intra-parietal sulcus hIP1,GM Secondary somatosensory cortex / Parietal operculum OP2,0.12662369913455185
GM Anterior intra-parietal sulcus hIP1,GM Secondary somatosensory cortex / Parietal operculum OP3,0.3237345622320784
GM Anterior intra-parietal sulcus hIP1,GM Secondary somatosensory cortex / Parietal operculum OP4,0.2045769519045535
GM Anterior intra-parietal sulcus hIP1,GM Superior parietal lobule 5Ci,0.42044862983755527
GM Anterior intra-parietal sulcus hIP1,GM Superior parietal lobule 5L,0.4487575129061733
GM Anterior intra-parietal sulcus hIP1,GM Superior parietal lobule 5M,0.9257941889439476
GM Anterior intra-parietal sulcus hIP1,GM Superior parietal lobule 7A,0.09628462583147157
GM Anterior intra-parietal sulcus hIP1,GM Superior parietal lobule 7M,0.21647943344286102
GM Anterior intra-parietal sulcus hIP1,GM Superior parietal lobule 7P,0.31463160948181323
GM Anterior intra-parietal sulcus hIP1,GM Superior parietal lobule 7PC,0.3259326004591422
GM Anterior intra-parietal sulcus hIP1,GM Visual cortex V1 BA17,0.5166563653477378
GM Anterior intra-parietal sulcus hIP1,GM Visual cortex V2 BA18,0.4453738977830657
GM Anterior intra-parietal sulcus hIP1,GM Visual cortex V3V,0.811743879908803
GM Anterior intra-parietal sulcus hIP1,GM Visual cortex V4,0.7182763360163162
GM Anterior intra-parietal sulcus hIP1,GM Visual cortex V5,0.9955103152650515
GM Anterior intra-parietal sulcus hIP1,WM Acoustic radiation,0.358938183109653
GM Anterior intra-parietal sulcus hIP1,WM Callosal body,0.7246687288804183
GM Anterior intra-parietal sulcus hIP1,WM Cingulum,0.18286963407876544
GM Anterior intra-parietal sulcus hIP1,WM Corticospinal tract,0.8492564358566459
GM Anterior intra-parietal sulcus hIP1,WM Fornix,0.5464486108008538
GM Anterior intra-parietal sulcus hIP1,WM Inferior occipito-frontal fascicle,0.9310912725616265
GM Anterior intra-parietal sulcus hIP1,WM Optic radiation,0.940955284027963
GM Anterior intra-parietal sulcus hIP1,WM Superior longitudinal fascicle,0.8681139760272
GM Anterior intra-parietal sulcus hIP1,WM Superior occipito-frontal fascicle,0.07525191025386258
GM Anterior intra-parietal sulcus hIP1,WM Uncinate fascicle,0.10811449389176808
GM Anterior intra-parietal sulcus hIP2,GM Anterior intra-parietal sulcus hIP3,0.7936644874090623
GM Anterior intra-parietal sulcus hIP2,GM Broca's area BA44,0.6896275721406396
GM Anterior intra-parietal sulcus hIP2,GM Broca's area BA45,0.4837445345343354
GM Anterior intra-parietal sulcus hIP2,GM Hippocampus cornu ammonis,0.4721029691175961
GM Anterior intra-parietal sulcus hIP2,GM Hippocampus dentate gyrus,0.6654843630798077
GM Anterior intra-parietal sulcus hIP2,GM Hippocampus entorhinal cortex,0.231720850219733
GM Anterior intra-parietal sulcus hIP2,GM Hippocampus hippocampal-amygdaloid transition area,0.2381396598630997
GM Anterior intra-parietal sulcus hIP2,GM Hippocampus subiculum,0.8693299327654518
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PF,0.7833918913442958
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PFcm,0.6353082382350004
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PFm,0.5560964086884019
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PFop,0.6800306468543699
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PFt,0.1763491724647136
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PGp,0.5830193312907817
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule Pga,0.8426773782758078
GM Anterior intra-parietal sulcus hIP2,GM Insula Id1,0.7008864881383398
GM Anterior intra-parietal sulcus hIP2,GM Insula Ig1,0.5489447628281244
GM Anterior intra-parietal sulcus hIP2,GM Insula Ig2,0.9397109523204376
GM Anterior intra-parietal sulcus hIP2,GM Lateral geniculate body,0.056264650601051014
GM Anterior intra-parietal sulcus hIP2,GM Mamillary body,0.3113009529194102
GM Anterior intra-parietal sulcus hIP2,GM Medial geniculate body,0.021641767294742653
GM Anterior intra-parietal sulcus hIP2,GM Premotor cortex BA6,0.6982390566127848
GM Anterior intra-parietal sulcus hIP2,GM Primary auditory cortex TE1.0,0.9661029715188034
GM Anterior intra-parietal sulcus hIP2,GM Primary auditory cortex TE1.1,0.6333771492390645
GM Anterior intra-parietal sulcus hIP2,GM Primary auditory cortex TE1.2,0.9083783005974859
GM Anterior intra-parietal sulcus hIP2,GM Primary motor cortex BA4a,0.15270871851794254
GM Anterior intra-parietal sulcus hIP2,GM Primary motor cortex BA4p,0.3326172043807206
GM Anterior intra-parietal sulcus hIP2,GM Primary somatosensory cortex BA1,0.8644117353390577
GM Anterior intra-parietal sulcus hIP2,GM Primary somatosensory cortex BA2,0.8140022238365969
GM Anterior intra-parietal sulcus hIP2,GM Primary somatosensory cortex BA3a,0.9499786634353942
GM Anterior intra-parietal sulcus hIP2,GM Primary somatosensory cortex BA3b,0.05409944387930099
GM Anterior intra-parietal sulcus hIP2,GM Secondary somatosensory cortex / Parietal operculum OP1,0.7966121259365109
GM Anterior intra-parietal sulcus hIP2,GM Secondary somatosensory cortex / Parietal operculum OP2,0.7790940599249467
GM Anterior intra-parietal sulcus hIP2,GM Secondary somatosensory cortex / Parietal operculum OP3,0.07512354820295264
GM Anterior intra-parietal sulcus hIP2,GM Secondary somatosensory cortex / Parietal operculum OP4,0.3699852046842268
GM Anterior intra-parietal sulcus hIP2,GM Superior parietal lobule 5Ci,0.5146870721047537
GM Anterior intra-parietal sulcus hIP2,GM Superior parietal lobule 5L,0.9419377310748307
GM Anterior intra-parietal sulcus hIP2,GM Superior parietal lobule 5M,0.5131178760838618
GM Anterior intra-parietal sulcus hIP2,GM Superior parietal lobule 7A,0.3444957365012985
GM Anterior intra-parietal sulcus hIP2,GM Superior parietal lobule 7M,0.0986116418124019
GM Anterior intra-parietal sulcus hIP2,GM Superior parietal lobule 7P,0.14404685155246733
GM Anterior intra-parietal sulcus hIP2,GM Superior parietal lobule 7PC,0.11878425177993934
GM Anterior intra-parietal sulcus hIP2,GM Visual cortex V1 BA17,0.3895410291548267
GM Anterior intra-parietal sulcus hIP2,GM Visual cortex V2 BA18,0.2735953842584552
GM Anterior intra-parietal sulcus hIP2,GM Visual cortex V3V,0.4376544617244005
GM Anterior intra-parietal sulcus hIP2,GM Visual cortex V4,0.17510262698775192
GM Anterior intra-parietal sulcus hIP2,GM Visual cortex V5,0.35303663671789554
GM Anterior intra-parietal sulcus hIP2,WM Acoustic radiation,0.5787898998409945
GM Anterior intra-parietal sulcus hIP2,WM Callosal body,0.27488487862744926
GM Anterior intra-parietal sulcus hIP2,WM Cingulum,0.259093960685884
GM Anterior intra-parietal sulcus hIP2,WM Corticospinal tract,0.3784921376515049
GM Anterior intra-parietal sulcus hIP2,WM Fornix,0.14122154454728852
GM Anterior intra-parietal sulcus hIP2,WM Inferior occipito-frontal fascicle,0.10844916403804317
GM Anterior intra-parietal sulcus hIP2,WM Optic radiation,0.8845632641929505
GM Anterior intra-parietal sulcus hIP2,WM Superior longitudinal fascicle,0.5042423364951991
GM Anterior intra-parietal sulcus hIP2,WM Superior occipito-frontal fascicle,0.6756364544130462
GM Anterior intra-parietal sulcus hIP2,WM Uncinate fascicle,0.42175141226933366
GM Anterior intra-parietal sulcus hIP3,GM Broca's area BA44,0.9795630102967432
GM Anterior intra-parietal sulcus hIP3,GM Broca's area BA45,0.9080484022045029
GM Anterior intra-parietal sulcus hIP3,GM Hippocampus cornu ammonis,0.5820958606234606
GM Anterior intra-parietal sulcus hIP3,GM Hippocampus dentate gyrus,0.21347173185086532
GM Anterior intra-parietal sulcus hIP3,GM Hippocampus entorhinal cortex,0.7188133876470261
GM Anterior intra-parietal sulcus hIP3,GM Hippocampus hippocampal-amygdaloid transition area,0.3954020165476616
GM Anterior intra-parietal sulcus hIP3,GM Hippocampus subiculum,0.3355854863824811
GM Anterior intra-parietal sulcus hIP3,GM Inferior parietal lobule PF,0.3996136634596854
GM Anterior intra-parietal sulcus hIP3,GM Inferior parietal lobule PFcm,0.03586659391877656
GM Anterior intra-parietal sulcus hIP3,GM Inferior parietal lobule PFm,0.6765603024777082
GM Anterior intra-parietal sulcus hIP3,GM Inferior parietal lobule PFop,0.8570634488115344
GM Anterior intra-parietal sulcus hIP3,GM Inferior parietal lobule PFt,0.4163879766299575
GM Anterior intra-parietal sulcus hIP3,GM Inferior parietal lobule PGp,0.6090281141478338
GM Anterior intra-parietal sulcus hIP3,GM Inferior parietal lobule Pga,0.3305749323426075
GM Anterior intra-parietal sulcus hIP3,GM Insula Id1,0.0353549826384405
GM Anterior intra-parietal sulcus hIP3,GM Insula Ig1,0.8923679484911896
GM Anterior intra-parietal sulcus hIP3,GM Insula Ig2,0.2727898562275901
GM Anterior intra-parietal sulcus hIP3,GM Lateral geniculate body,0.6379133235830251
GM Anterior intra-parietal sulcus hIP3,GM Mamillary body,0.5678546156304741
GM Anterior intra-parietal sulcus hIP3,GM Medial geniculate body,0.840406673798141
GM Anterior intra-parietal sulcus hIP3,GM Premotor cortex BA6,0.22795971616214772
GM Anterior intra-parietal sulcus hIP3,GM Primary auditory cortex TE1.0,0.8300359015519235
GM Anterior intra-parietal sulcus hIP3,GM Primary auditory cortex TE1.1,0.09950927337366877
GM Anterior intra-parietal sulcus hIP3,GM Primary auditory cortex TE1.2,0.271064006808162
GM Anterior intra-parietal sulcus hIP3,GM Primary motor cortex BA4a,0.14243955128844887
GM Anterior intra-parietal sulcus hIP3,GM Primary motor cortex BA4p,0.18096440765799127
GM Anterior intra-parietal sulcus hIP3,GM Primary somatosensory cortex BA1,0.14501117608590974
GM Anterior intra-parietal sulcus hIP3,GM Primary somatosensory cortex BA2,0.801545816800416
GM Anterior intra-parietal sulcus hIP3,GM Primary somatosensory cortex BA3a,0.2740461076780685
GM Anterior intra-parietal sulcus hIP3,GM Primary somatosensory cortex BA3b,0.5869242339586166
GM Anterior intra-parietal sulcus hIP3,GM Secondary somatosensory cortex / Parietal operculum OP1,0.978305906093092
GM Anterior intra-parietal sulcus hIP3,GM Secondary somatosensory cortex / Parietal operculum OP2,0.9022557655635878
GM Anterior intra-parietal sulcus hIP3,GM Secondary somatosensory cortex / Parietal operculum OP3,0.16458900070713778
GM Anterior intra-parietal sulcus hIP3,GM Secondary somatosensory cortex / Parietal operculum OP4,0.10736173343211586
GM Anterior intra-parietal sulcus hIP3,GM Superior parietal lobule 5Ci,0.7811838797520385
GM Anterior intra-parietal sulcus hIP3,GM Superior parietal lobule 5L,0.8327124137286801
GM Anterior intra-parietal sulcus hIP3,GM Superior parietal lobule 5M,0.07444197424885735
GM Anterior intra-parietal sulcus hIP3,GM Superior parietal lobule 7A,0.8456619293153863
GM Anterior intra-parietal sulcus hIP3,GM Superior parietal lobule 7M,0.4104472189112196
GM Anterior intra-parietal sulcus hIP3,GM Superior parietal lobule 7P,0.6482359895239964
GM Anterior intra-parietal sulcus hIP3,GM Superior parietal lobule 7PC,0.9116277733519509
GM Anterior intra-parietal sulcus hIP3,GM Visual cortex V1 BA17,0.18203452267381415
